roi_set	roi	variant	response	status	model	n_trials	n_subjects	ers_beta	ers_se	ers_p	condition_beta	condition_se	condition_p	interaction_beta	interaction_se	interaction_p	converged	loglik	q_bh_within_family
meta_spatial	meta_L_PPA_PHG	run3_to_retrieval	memory	ok	gee_binomial	884	26	-0.20803497008998414	0.18030470598704684	0.24858353806008948	0.5980038476861868	0.17475030263994615	0.0006215143977353559	0.2135321781770867	0.18130795674943434	0.23890347491336206	True		0.6905942464337927
meta_spatial	meta_L_PPC_SPL	run3_to_retrieval	memory	ok	gee_binomial	884	26	0.1605531213591928	0.14745743267830383	0.2762376985735171	0.5841592484320124	0.17370165676917879	0.0007709943650558725	-0.16662133159062414	0.16182725267336237	0.30318622998426537	True		0.6905942464337927
meta_spatial	meta_R_PPC_SPL	run4_to_retrieval	memory	ok	gee_binomial	884	26	0.17978279169535788	0.23774801185804276	0.4495349783480517	0.6017856139912876	0.17569933088906967	0.0006146010336052746	-0.16840801335770847	0.25971527971472863	0.5167047943399377	True		0.7133718049915929
meta_spatial	meta_L_RSC_PCC	run4_to_retrieval	memory	ok	gee_binomial	884	26	-0.10917196216960753	0.19040954402851212	0.5664054261166992	0.5870898580112496	0.1737259368880702	0.0007264358029307801	0.1619586221787069	0.21441282320574281	0.45003370057184267	True		0.7133718049915929
meta_spatial	meta_L_hippocampus	run4_to_retrieval	memory	ok	gee_binomial	884	26	0.08721788053279761	0.1538167392061208	0.5706974439932744	0.5903962539173234	0.17100199781458264	0.0005552747513081801	0.027097879504614876	0.17965232420341642	0.8801057830908406	True		0.7133718049915929
meta_metaphor	meta_L_IFG	run3_to_retrieval	memory	ok	gee_binomial	884	26	0.05963611106643008	0.16510675876641445	0.7179519803521024	0.5825159067538233	0.16597747925488493	0.0004487675862747897	0.06283940685187794	0.201797120818015	0.7554973696737249	True		0.7179519803521024
meta_metaphor	meta_L_pMTG_pSTS	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.010867677355010581	0.03120810713579854	0.7276655774680141	-0.06750774684308829	0.03229162345322946	0.03656705079811256	0.0008607077026060953	0.03241482294382485	0.9788163366519227	True	-27.97550678955872	0.7442647325583341
meta_metaphor	meta_R_IFG	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.010193136122160761	0.03124706605443653	0.7442647325583341	-0.07319399266070865	0.03247303605016483	0.024196614713416196	0.008658869580926383	0.03276628713039792	0.7915783918005272	True	inf	0.7442647325583341
meta_metaphor	meta_L_AG	run4_to_retrieval	memory	ok	gee_binomial	884	26	0.1393380648922676	0.15919254562175578	0.3814215272319458	0.5546349677067111	0.1849542723691199	0.0027107356540977214	-0.023764156482818783	0.16883989591112789	0.8880677193853137	True		0.7638536948830844
meta_metaphor	meta_R_temporal_pole	run4_to_retrieval	memory	ok	gee_binomial	884	26	-0.1572890891124032	0.1928884774663948	0.4148201723866395	0.565903611396921	0.18388049733548498	0.002087014939819565	0.1921153852685131	0.15622573559525713	0.2187984411263738	True		0.7638536948830844
